0x3412699a45dd6000 0xff 0x0
0x1000608ab907856 0xff 0x0
0x3412020004060008 0xff 0x0
0x1010101ab907856 0xff 0x0
0x101699a45dd6000 0xff 0x0
00000000000x0a01 0x2 0x1
0x140004000005400 0xff 0x0
0x101010101019436 0xff 0x0
0xb463b7b800080a01 0xff 0x0
000x51cd55b80100 0xff 0x0
00000x0d188a0000 0xff 0x0
0x1514131211100000 0xff 0x0
0x1d1c1b1a19181716 0xff 0x0
0x2524232221201f1e 0xff 0x0
0x2d2c2b2a29282726 0xff 0x0
0x3534333231302f2e 0x2 0x1
0x3412699a45dd6000 0xff 0x0
0x1000608ab907856 0xff 0x0
0x3412020004060008 0xff 0x0
0x1010101ab907856 0xff 0x0
0x101699a45dd6000 0xff 0x0
00000000000x0a01 0x2 0x1
0x3412699a45dd6000 0xff 0x0
0x1000608ab907856 0xff 0x0
0x3412020004060008 0xff 0x0
0x1010101ab907856 0xff 0x0
0x101699a45dd6000 0xff 0x0
00000000000x0a01 0x2 0x1
0x640004000005400 0xff 0x0
0x101010101019436 0xff 0x0
0xb463b7b800080a01 0xff 0x0
000x51cd55b80100 0xff 0x0
00000x0d188a0000 0xff 0x0
0x1514131211100000 0xff 0x0
0x1d1c1b1a19181716 0xff 0x0
0x2524232221201f1e 0xff 0x0
0x2d2c2b2a29282726 0xff 0x0
0x3534333231302f2e 0x2 0x1
0x3412ffffffffffff 0xff 0x0
0x1000608ab907856 0xff 0x0
0x3412010004060008 0xff 0x0
0x1010101ab907856 0xff 0x0
0x101000000000000 0xff 0x0
00000000000x0a01 0x2 0x1
